"V1","V2","V3","V4"
0.504062847180909,0.756668500800495,0,5
0.57853138881815,0.780433768190247,1,3
0.703009535088864,0.781048916412007,0,6
0.55783092185248,0.770750315520219,0,9
0.565726985186059,0.746310292599238,1,2
0.607690399336477,0.664321592114863,1,7
0.675603759294985,0.655752341044957,1,6
0.567325747971032,0.654684238881855,1,8
0.745540637618455,0.678086060543052,0,8
0.678939436895127,0.690131612943274,1,8
0.730458153857059,0.489136731286328,1,6
0.584671595749086,0.727859164137929,1,4
0.767642878442476,0.56989299329697,1,2
0.723184171978462,0.644820132357553,0,5
0.866945794020858,0.562238327961621,1,5
0.649629700203037,0.724434199733359,0,3
0.729443631634916,0.727190995355421,1,2
0.674833904925169,0.795077437571425,0,3
0.709425756220245,0.611562012621296,0,8
0.754372434394606,0.817236793400612,0,7
0.637340638153023,0.711534439675568,0,9
0.592529054743813,0.667685997235177,1,7
0.783477311347241,0.808339484925489,1,5
0.808301047872421,0.749642777012208,1,8
0.648631465307364,0.706344175287702,0,6
0.542419021550032,0.827980683472212,1,5
0.679617705934623,0.646976539526983,0,5
0.580478177791521,0.612751832403472,1,5
0.60099669936021,0.716331504257049,0,7
0.635779899570027,0.595014870909084,0,5
0.498363659550375,0.719486176631761,1,7
0.73490341040273,0.629280789844371,1,9
0.702844136293759,0.819077858475973,0,4
0.771243644791498,0.640000158556444,0,1
0.589177328633851,0.637696329696009,0,1
0.784237191732737,0.576214903804421,1,3
0.7989354122775,0.540840545717351,0,9
0.869995111620033,0.733504555846005,1,8
0.728034548657529,0.678729506193433,1,2
0.591122295640553,0.57630068299167,1,7
0.66925582223559,0.656288197307424,0,1
0.699061193615101,0.633544180641956,1,8
0.507054222155126,0.68333005707777,1,1
0.675364231172676,0.56842378916709,1,6
0.657396583926277,0.72070761304352,1,0
0.694404733238019,0.784529745238727,0,2
0.531479917511819,0.642049071531927,1,6
0.541278875806432,0.689356106515701,0,7
0.660147837753317,0.783940318785501,1,7
0.622365553046483,0.724801044893319,0,9
0.713143945587989,0.642369422036363,1,9
0.929603770868897,0.741947267313667,1,2
0.796064946780404,0.75171692650869,1,1
0.60752494225143,0.635929938661085,1,1
0.634156537239873,0.486276676909837,1,8
0.769743948510165,0.762658792990102,1,1
0.727190842462404,0.644884137065049,0,2
0.719013423407924,0.98380720524802,0,3
0.698968463195005,0.635914190439828,1,8
0.548136250790184,0.801445412572203,1,3
0.889335938110126,0.775168283528304,0,8
0.508418653907152,0.668189446990835,0,1
0.674655413761313,0.756973869709337,1,9
0.694204482884568,0.732224235218867,0,5
0.697600207771187,0.519355440565098,1,9
0.57926755732179,0.750126692047122,1,4
0.833405730264297,0.67426536471933,0,3
0.724503938751381,0.754484291671216,0,4
0.749440991701833,0.506328402308433,0,7
0.615882886126507,0.700020597911139,0,6
0.72250696631736,0.671291312318889,0,5
0.561698528243816,0.801218787824041,0,5
0.673705575697753,0.752849941030976,0,4
0.761114725104409,0.674297727269876,1,1
0.711239990932517,0.775397087419324,1,6
0.6291992032164,0.746079590998841,1,4
0.652080073197557,0.876592288873991,1,2
0.584030250309696,0.706782622515067,1,6
0.825406652430409,0.662735093808677,0,5
0.776625382617778,0.685863313765236,1,8
0.582622756610883,0.68783720782248,1,9
0.790747081574359,0.770625556826487,1,9
0.75376881660046,0.585804369164001,0,3
0.742437721221748,0.737053230790977,1,9
0.873685366302327,0.691045957637394,0,1
0.983650692402152,0.675142546446223,1,4
0.599106140947076,0.754905002782607,0,8
0.670059023798152,0.704597087112435,0,7
0.768298719796304,0.80586432993928,0,7
0.570046041650434,0.736061671150103,1,8
0.547692268655987,0.572051907925847,0,8
0.80992630118207,0.559837201551025,1,0
0.607072275970189,0.745573975957852,1,8
0.727629441478808,0.709813889422389,0,7
0.575807812458681,0.570911014745415,1,0
0.646229874895164,0.720078388933706,1,4
0.607598773322131,0.694051182461599,1,8
0.694331952832406,0.538400468188423,0,2
0.701370209199982,0.66907031337637,1,4
0.625114415256044,0.680216391541568,1,4
0.794331286082059,0.606581167769667,1,2
0.685749730114961,0.83613793577834,1,1
0.504630257328063,0.643653237248629,1,4
0.639653904858447,0.738750398815792,1,2
0.569925506821342,0.749463489082258,1,0
0.647804578817166,0.715607542735368,1,8
0.849194410765458,0.838055772002616,1,2
0.683010065032367,0.72416813462299,1,7
0.617215681787994,0.775967559962146,0,6
0.984723612438869,0.579938927998902,0,3
0.576597748475761,0.77112117702444,0,1
0.651219882545846,0.691609582333798,0,1
0.81639076396309,0.745699554014045,1,9
0.753162625696072,0.598725404663925,0,2
0.71690780073904,0.700619228189836,1,8
0.685617780679408,0.723091807372744,1,9
0.498914906450995,0.750806077334675,1,7
0.828186268152855,0.683364789210404,1,9
0.766767727913538,0.628602873687457,1,9
0.678328034249972,0.753289142211992,0,2
0.593343854102977,0.732603826163669,1,7
0.894287732904496,0.515378703864242,1,1
0.58410421718529,0.613092374276907,0,1
0.726582084050125,0.50327132824126,1,2
0.690737904140141,0.784501100849828,0,2
0.75967535303782,0.695324441928551,1,2
0.52618977677643,0.780023913914704,0,8
0.753145260563759,0.710648514234298,0,8
0.629633821848443,0.774116747755939,0,2
0.623863970122598,0.728762614277799,0,9
0.819549291622402,0.596758539382576,1,5
0.895932858699374,0.728043768994834,1,8
0.565033932066222,0.644943190393358,1,9
0.859570412525656,0.653872294148981,1,8
0.606938467325293,0.720466398070005,1,3
0.779377705287057,0.53022932303193,0,1
0.615404299100667,0.751976565183109,0,3
0.559372648275263,0.615713373896617,1,6
0.576458251491586,0.596997328387115,0,8
0.559431708450202,0.732307383351292,1,2
0.689209383160824,0.685948261881778,0,5
0.645262608870809,0.726433298265628,0,7
0.730808955553906,0.825983609807618,1,9
0.634689714681317,0.748105060434882,0,4
0.810583592061777,0.710508610334176,1,7
0.781941714882245,0.687614423660181,1,1
0.722959411895416,0.53802008113718,1,2
0.713636016521832,0.86251917477011,0,4
0.596154818769157,0.679438804489794,0,3
0.579090387485437,0.803114862957906,1,2
0.76195637972733,0.708179827191729,1,2
0.640541824962878,0.635945302110944,1,4
0.785201981852968,0.664216148994994,0,2
0.784843476674537,0.635278497233366,1,4
0.815743160838039,0.830991265621075,1,4
0.841201973397044,0.621807091449596,1,1
0.727152458534391,0.662490062113208,1,4
0.80644457027109,0.669249523498923,0,9
0.786337715884268,0.802620221495714,0,8
0.575137564945729,0.650671896431632,1,4
0.748099663798698,0.697273811602597,0,8
0.803612857427813,0.672920080721686,1,9
0.545594017392929,0.563109750129792,1,6
0.815845567034712,0.722466311017231,1,6
0.578473395884612,0.75698657833782,0,6
0.689121909218208,0.706972508459906,0,4
0.856529156307986,0.837399841095976,1,6
0.620062473433512,0.684619097752811,1,1
0.588141276773758,0.709660667996635,1,9
0.899519826259027,0.636151718283311,1,4
0.709297437231932,0.578048536730496,1,6
0.584472589087956,0.686376642164748,1,5
0.694341812079727,0.643799825843209,1,3
0.593633738120782,0.585201363009295,0,5
0.651180218702417,0.588804512119288,1,3
0.60773625737558,0.697007646313534,1,2
0.729351454409926,0.709073317490722,0,6
0.719695018608865,0.656700337632387,1,6
0.633459824204229,0.600845888475076,1,7
0.632595742894903,0.752595929868077,0,1
0.765436210212732,0.527141990374443,0,4
0.759049892962519,0.771756400232333,1,4
0.641263028785034,0.77160974517836,1,1
0.773147824091641,0.547406074788373,1,8
0.755260381945195,0.669061987392941,1,8
0.642008474428625,0.775613193120111,1,9
0.714159757883691,0.596368550411116,0,9
0.68006001410546,0.543090348102706,0,5
0.6875316253026,0.72606431773684,0,1
0.454373615077218,0.759791186501837,1,5
0.553356026596917,0.614659521493639,0,2
0.735429268772162,0.713086019371424,1,9
0.576243389465381,0.756769164018613,1,6
0.60379865206719,0.774128719391527,0,6
0.757863508364933,0.703441121181542,1,8
0.764152187081917,0.681166631637109,1,7
0.602397695657105,0.791071032747548,1,8
0.579416769763439,0.597971644567844,1,2
0.777506872279549,0.600937246495783,0,6
0.571806711299988,0.694555554808453,1,2
