"rep","dens","rand","rich","species","n","n.I","max.dI","tmax.dI","n.E","FOI","pE","pI","comp_Abund","comp_relAbund","comp_nI","pcomp_Abund","comp.i","n.Eweighted","p.Eweighted"
5,"sub",FALSE,4,"1",111,95,28,3,88,1.3875,0.792792792792793,0.493333333333333,153.3,0.511,108.3,1.38108108108108,1,88,0.293333333333333
5,"sub",FALSE,4,"2",87,36,6,3,63,0.11816874400767,0.724137931034483,0.493333333333333,153.3,0.511,108.3,1.76206896551724,0.3,18.9,0.063
5,"sub",FALSE,4,"3",60,8,1,7,43,0.0496649586125345,0.716666666666667,0.493333333333333,153.3,0.511,108.3,2.555,0.2,8.6,0.0286666666666667
5,"sub",FALSE,4,"4",42,9,0,2,27,0.0618921308576481,0.642857142857143,0.493333333333333,153.3,0.511,108.3,3.65,0.1,2.7,0.009
5,"sub",FALSE,4,"tot",300,148,34,3,221,0.160806262465206,0.736666666666667,0.493333333333333,153.3,0.511,108.3,0.511,NA,118.2,0.394
5,"sub",FALSE,6,"1",95,69,25,3,59,1.75995270003942,0.621052631578947,0.386666666666667,130.9,0.436333333333333,80,1.37789473684211,1,59,0.196666666666667
5,"sub",FALSE,6,"2",75,26,5,3,57,0.0922177237966712,0.76,0.386666666666667,130.9,0.436333333333333,80,1.74533333333333,0.3,17.1,0.057
5,"sub",FALSE,6,"3",49,15,4,3,27,0.128608923884514,0.551020408163265,0.386666666666667,130.9,0.436333333333333,80,2.67142857142857,0.2,5.4,0.018
5,"sub",FALSE,6,"4",36,2,0,2,23,0.051907719609583,0.638888888888889,0.386666666666667,130.9,0.436333333333333,80,3.63611111111111,0.1,2.3,0.00766666666666667
5,"sub",FALSE,6,"5",26,0,0,2,17,0.0479606476737036,0.653846153846154,0.386666666666667,130.9,0.436333333333333,80,5.03461538461538,0,0,0
5,"sub",FALSE,6,"6",19,4,0,2,9,0.131944444444444,0.473684210526316,0.386666666666667,130.9,0.436333333333333,80,6.88947368421053,0,0,0
5,"sub",FALSE,6,"tot",300,116,34,3,192,0.160298783712322,0.64,0.386666666666667,130.9,0.436333333333333,80,0.436333333333333,NA,83.8,0.279333333333333
6,"sub",FALSE,1,"1",300,300,87,5,270,1.16144018583043,0.9,1,300,1,300,1,1,270,0.9
6,"sub",FALSE,1,"tot",300,300,87,5,270,1.16144018583043,0.9,1,300,1,300,1,NA,270,0.9
6,"sub",FALSE,2,"1",169,169,57,3,153,1.16670751633987,0.905325443786982,0.866666666666667,208.3,0.694333333333333,196.3,1.23254437869822,1,153,0.51
6,"sub",FALSE,2,"2",131,91,17,5,117,0.113084227401652,0.893129770992366,0.866666666666667,208.3,0.694333333333333,196.3,1.59007633587786,0.3,35.1,0.117
6,"sub",FALSE,2,"tot",300,260,65,3,270,0.272279819876427,0.9,0.866666666666667,208.3,0.694333333333333,196.3,0.694333333333333,NA,188.1,0.627
6,"sub",FALSE,4,"1",110,88,29,3,79,1.36708860759494,0.718181818181818,0.49,152.6,0.508666666666667,102.7,1.38727272727273,1,79,0.263333333333333
6,"sub",FALSE,4,"2",88,35,5,4,72,0.0732060185185185,0.818181818181818,0.49,152.6,0.508666666666667,102.7,1.73409090909091,0.3,21.6,0.072
6,"sub",FALSE,4,"3",60,18,3,7,44,0.0635386119257087,0.733333333333333,0.49,152.6,0.508666666666667,102.7,2.54333333333333,0.2,8.8,0.0293333333333333
6,"sub",FALSE,4,"4",42,6,0,2,36,0.0126811594202899,0.857142857142857,0.49,152.6,0.508666666666667,102.7,3.63333333333333,0.1,3.6,0.012
6,"sub",FALSE,4,"tot",300,147,35,3,231,0.121508270401631,0.77,0.49,152.6,0.508666666666667,102.7,0.508666666666667,NA,113,0.376666666666667
6,"sub",FALSE,6,"1",95,73,20,3,62,2.14065464895636,0.652631578947368,0.403333333333333,130.7,0.435666666666667,84,1.37578947368421,1,62,0.206666666666667
6,"sub",FALSE,6,"2",73,26,4,4,54,0.0934669914433827,0.73972602739726,0.403333333333333,130.7,0.435666666666667,84,1.79041095890411,0.3,16.2,0.054
6,"sub",FALSE,6,"3",51,15,2,3,32,0.109913793103448,0.627450980392157,0.403333333333333,130.7,0.435666666666667,84,2.56274509803922,0.2,6.4,0.0213333333333333
6,"sub",FALSE,6,"4",36,2,0,2,25,0.0436363636363636,0.694444444444444,0.403333333333333,130.7,0.435666666666667,84,3.63055555555556,0.1,2.5,0.00833333333333333
6,"sub",FALSE,6,"5",26,5,0,2,19,0.0289394180314835,0.730769230769231,0.403333333333333,130.7,0.435666666666667,84,5.02692307692308,0,0,0
6,"sub",FALSE,6,"6",19,0,0,2,17,0.00809889173060529,0.894736842105263,0.403333333333333,130.7,0.435666666666667,84,6.87894736842105,0,0,0
6,"sub",FALSE,6,"tot",300,121,25,3,209,0.130101603156751,0.696666666666667,0.403333333333333,130.7,0.435666666666667,84,0.435666666666667,NA,87.1,0.290333333333333
7,"sub",FALSE,1,"1",300,300,88,5,270,1.11111111111111,0.9,1,300,1,300,1,1,270,0.9
7,"sub",FALSE,1,"tot",300,300,88,5,270,1.11111111111111,0.9,1,300,1,300,1,NA,270,0.9
7,"sub",FALSE,2,"1",168,167,51,3,150,1.11337278106509,0.892857142857143,0.84,207.6,0.692,192.5,1.23571428571429,1,150,0.5
7,"sub",FALSE,2,"2",132,85,13,3,117,0.107980028772108,0.886363636363636,0.84,207.6,0.692,192.5,1.57272727272727,0.3,35.1,0.117
7,"sub",FALSE,2,"tot",300,252,64,3,267,0.265785578787184,0.89,0.84,207.6,0.692,192.5,0.692,NA,185.1,0.617
7,"sub",FALSE,4,"1",111,101,30,3,91,1.39583097315056,0.81981981981982,0.58,153.4,0.511333333333333,119.8,1.38198198198198,1,91,0.303333333333333
7,"sub",FALSE,4,"2",87,49,9,3,69,0.141697722567288,0.793103448275862,0.58,153.4,0.511333333333333,119.8,1.7632183908046,0.3,20.7,0.069
7,"sub",FALSE,4,"3",61,17,4,5,49,0.0504688361831219,0.80327868852459,0.58,153.4,0.511333333333333,119.8,2.51475409836066,0.2,9.8,0.0326666666666667
7,"sub",FALSE,4,"4",41,7,0,2,30,0.0319858156028369,0.731707317073171,0.58,153.4,0.511333333333333,119.8,3.74146341463415,0.1,3,0.01
7,"sub",FALSE,4,"tot",300,174,41,3,239,0.152804142358799,0.796666666666667,0.58,153.4,0.511333333333333,119.8,0.511333333333333,NA,124.5,0.415
7,"sub",FALSE,6,"1",95,76,22,3,67,1.24401577020558,0.705263157894737,0.416666666666667,131.2,0.437333333333333,87.7,1.38105263157895,1,67,0.223333333333333
7,"sub",FALSE,6,"2",74,31,6,3,60,0.0801139601139601,0.810810810810811,0.416666666666667,131.2,0.437333333333333,87.7,1.77297297297297,0.3,18,0.06
7,"sub",FALSE,6,"3",52,10,2,5,38,0.0561979898411326,0.730769230769231,0.416666666666667,131.2,0.437333333333333,87.7,2.52307692307692,0.2,7.6,0.0253333333333333
7,"sub",FALSE,6,"4",36,4,0,2,23,0.0528514963297572,0.638888888888889,0.416666666666667,131.2,0.437333333333333,87.7,3.64444444444444,0.1,2.3,0.00766666666666667
7,"sub",FALSE,6,"5",25,1,0,2,15,0.0754147812971342,0.6,0.416666666666667,131.2,0.437333333333333,87.7,5.248,0,0,0
7,"sub",FALSE,6,"6",18,3,0,2,12,0.046875,0.666666666666667,0.416666666666667,131.2,0.437333333333333,87.7,7.28888888888889,0,0,0
7,"sub",FALSE,6,"tot",300,125,29,3,215,0.127106675454289,0.716666666666667,0.416666666666667,131.2,0.437333333333333,87.7,0.437333333333333,NA,94.9,0.316333333333333
8,"sub",FALSE,1,"1",300,300,89,5,270,1.09649122807018,0.9,1,300,1,300,1,1,270,0.9
8,"sub",FALSE,1,"tot",300,300,89,5,270,1.09649122807018,0.9,1,300,1,300,1,NA,270,0.9
8,"sub",FALSE,2,"1",168,168,41,3,152,1.11857958148383,0.904761904761905,0.83,207.6,0.692,192.3,1.23571428571429,1,152,0.506666666666667
8,"sub",FALSE,2,"2",132,81,12,5,118,0.0919900197883507,0.893939393939394,0.83,207.6,0.692,192.3,1.57272727272727,0.3,35.4,0.118
8,"sub",FALSE,2,"tot",300,249,47,5,270,0.240370692151752,0.9,0.83,207.6,0.692,192.3,0.692,NA,187.4,0.624666666666667
8,"sub",FALSE,4,"1",111,94,27,3,84,1.17223502304147,0.756756756756757,0.55,153.3,0.511,112.3,1.38108108108108,1,84,0.28
8,"sub",FALSE,4,"2",87,47,10,3,70,0.130827067669173,0.804597701149425,0.55,153.3,0.511,112.3,1.76206896551724,0.3,21,0.07
8,"sub",FALSE,4,"3",60,18,5,5,49,0.0425573072831028,0.816666666666667,0.55,153.3,0.511,112.3,2.555,0.2,9.8,0.0326666666666667
8,"sub",FALSE,4,"4",42,6,0,2,34,0.0180664587590063,0.80952380952381,0.55,153.3,0.511,112.3,3.65,0.1,3.4,0.0113333333333333
8,"sub",FALSE,4,"tot",300,165,39,3,237,0.135112081613156,0.79,0.55,153.3,0.511,112.3,0.511,NA,118.2,0.394
8,"sub",FALSE,6,"1",94,71,25,3,65,1.74665334665335,0.691489361702128,0.433333333333333,129.9,0.433,84.4,1.38191489361702,1,65,0.216666666666667
8,"sub",FALSE,6,"2",73,33,5,3,47,0.193183021064888,0.643835616438356,0.433333333333333,129.9,0.433,84.4,1.77945205479452,0.3,14.1,0.047
8,"sub",FALSE,6,"3",52,16,3,4,44,0.0438522516444594,0.846153846153846,0.433333333333333,129.9,0.433,84.4,2.49807692307692,0.2,8.8,0.0293333333333333
