"rep","dens","rand","rich","species","n","n.I","pI","max.dI","tmax.dI","n.E","FOI"
9,"sub",FALSE,6,"3",66,23,0.348484848484849,3,5,47,0.0464696692996546
9,"sub",FALSE,6,"4",54,3,0.0555555555555556,0,2,42,0.0139372822299652
9,"sub",FALSE,6,"5",43,5,0.116279069767442,0,2,33,0.0147735862021576
9,"sub",FALSE,6,"6",32,3,0.09375,0,2,22,0.024906600249066
9,"sub",FALSE,6,"tot",392,153,0.39030612244898,46,3,274,0.0753319130184122
10,"sub",FALSE,1,"1",392,392,1,120,5,353,1.23316935373849
10,"sub",FALSE,1,"tot",392,392,1,120,5,353,1.23316935373849
10,"sub",FALSE,2,"1",231,231,1,73,3,209,1.22160664819945
10,"sub",FALSE,2,"2",161,116,0.720496894409938,20,7,144,0.0882275132275132
10,"sub",FALSE,2,"tot",392,347,0.885204081632653,82,3,353,0.229503937154012
10,"sub",FALSE,4,"1",143,125,0.874125874125874,49,3,111,1.65968671374077
10,"sub",FALSE,4,"2",102,63,0.617647058823529,13,5,81,0.106497354497354
10,"sub",FALSE,4,"3",81,24,0.296296296296296,5,5,63,0.0337822918966659
10,"sub",FALSE,4,"4",66,7,0.106060606060606,0,2,51,0.0141898864809082
10,"sub",FALSE,4,"tot",392,219,0.558673469387755,62,3,306,0.0934095860566449
10,"sub",FALSE,6,"1",115,99,0.860869565217391,40,3,89,1.66961242267391
10,"sub",FALSE,6,"2",82,39,0.475609756097561,9,5,61,0.0842150137580902
10,"sub",FALSE,6,"3",66,15,0.227272727272727,3,9,48,0.0325591985428051
10,"sub",FALSE,6,"4",53,7,0.132075471698113,0,2,40,0.0159195933456562
10,"sub",FALSE,6,"5",44,4,0.0909090909090909,0,2,36,0.010238510762071
10,"sub",FALSE,6,"6",32,4,0.125,0,2,23,0.0200347826086957
10,"sub",FALSE,6,"tot",392,168,0.428571428571429,47,3,297,0.0629712101490589
1,"sub",TRUE,1,"4",392,39,0.0994897959183673,0,2,110,0.315029923055001
1,"sub",TRUE,1,"tot",392,39,0.0994897959183673,0,2,110,0.315029923055001
1,"sub",TRUE,2,"2",163,37,0.226993865030675,9,3,63,0.248182406455788
1,"sub",TRUE,2,"4",229,22,0.0960698689956332,0,2,77,0.208607267213635
