"rep","dens","rand","rich","species","n","n.I","pI","max.dI","tmax.dI","n.E","FOI"
4,"sub",FALSE,6,"3",51,17,0.333333333333333,2,11,30,0.144067796610169
4,"sub",FALSE,6,"4",36,3,0.0833333333333333,0,2,26,0.0341880341880342
4,"sub",FALSE,6,"5",26,2,0.0769230769230769,0,2,16,0.0622605363984674
4,"sub",FALSE,6,"6",19,1,0.0526315789473684,0,2,13,0.0396797772363383
4,"sub",FALSE,6,"tot",300,119,0.396666666666667,30,3,192,0.170156163626313
5,"sub",FALSE,1,"1",300,300,1,77,5,270,1.07874865156419
5,"sub",FALSE,1,"tot",300,300,1,77,5,270,1.07874865156419
5,"sub",FALSE,2,"1",169,168,0.994082840236686,44,5,154,1.05350649350649
5,"sub",FALSE,2,"2",131,93,0.709923664122137,13,9,116,0.116695402298851
5,"sub",FALSE,2,"tot",300,261,0.87,53,3,270,0.269767441860465
5,"sub",FALSE,4,"1",110,94,0.854545454545454,32,3,86,1.39304628137232
5,"sub",FALSE,4,"2",88,42,0.477272727272727,8,5,66,0.117647058823529
5,"sub",FALSE,4,"3",61,16,0.262295081967213,3,8,45,0.0540492645755804
5,"sub",FALSE,4,"4",41,5,0.121951219512195,0,2,32,0.0209659090909091
5,"sub",FALSE,4,"tot",300,157,0.523333333333333,40,3,229,0.137242669993762
5,"sub",FALSE,6,"1",94,67,0.712765957446808,22,3,59,2.20239282153539
5,"sub",FALSE,6,"2",75,31,0.413333333333333,7,3,48,0.155931771894094
5,"sub",FALSE,6,"3",50,12,0.24,2,3,37,0.050612410162972
5,"sub",FALSE,6,"4",36,2,0.0555555555555556,0,2,24,0.0440097799511003
5,"sub",FALSE,6,"5",26,2,0.0769230769230769,0,2,19,0.0362838915470494
5,"sub",FALSE,6,"6",19,4,0.210526315789474,0,2,10,0.108917197452229
5,"sub",FALSE,6,"tot",300,118,0.393333333333333,31,3,197,0.151254781155713
6,"sub",FALSE,1,"1",300,300,1,110,5,270,1.194743130227
6,"sub",FALSE,1,"tot",300,300,1,110,5,270,1.194743130227
6,"sub",FALSE,2,"1",169,169,1,43,3,144,1.2796146953405
6,"sub",FALSE,2,"2",131,90,0.687022900763359,13,3,126,0.0936650936650937
6,"sub",FALSE,2,"tot",300,259,0.863333333333333,56,3,270,0.249374157519738
6,"sub",FALSE,4,"1",111,79,0.711711711711712,25,3,66,2.28395061728395
6,"sub",FALSE,4,"2",88,36,0.409090909090909,6,3,63,0.118598382749326
6,"sub",FALSE,4,"3",59,10,0.169491525423729,2,3,35,0.0985797827903091
6,"sub",FALSE,4,"4",42,5,0.119047619047619,0,2,29,0.0411082668272851
6,"sub",FALSE,4,"tot",300,130,0.433333333333333,33,3,193,0.190617095989981
6,"sub",FALSE,6,"1",94,61,0.648936170212766,18,3,51,3.15008912655971
6,"sub",FALSE,6,"2",74,29,0.391891891891892,5,3,47,0.145432795009827
6,"sub",FALSE,6,"3",52,10,0.192307692307692,3,3,34,0.0887605042016807
6,"sub",FALSE,6,"4",35,6,0.171428571428571,0,2,20,0.0795454545454545
6,"sub",FALSE,6,"5",26,1,0.0384615384615385,0,2,18,0.036224312086381
6,"sub",FALSE,6,"6",19,1,0.0526315789473684,0,2,13,0.0449704142011834
6,"sub",FALSE,6,"tot",300,108,0.36,26,3,183,0.173264027722244
7,"sub",FALSE,1,"1",300,300,1,86,5,270,1.17370892018779
7,"sub",FALSE,1,"tot",300,300,1,86,5,270,1.17370892018779
7,"sub",FALSE,2,"1",168,166,0.988095238095238,45,3,153,1.10461430081014
7,"sub",FALSE,2,"2",132,86,0.651515151515151,14,5,113,0.114984854784106
7,"sub",FALSE,2,"tot",300,252,0.84,54,3,266,0.272122341669442
7,"sub",FALSE,4,"1",109,98,0.899082568807339,31,3,84,1.34752747252747
7,"sub",FALSE,4,"2",88,34,0.386363636363636,6,3,63,0.111746031746032
7,"sub",FALSE,4,"3",61,16,0.262295081967213,5,3,43,0.0841069951282287
7,"sub",FALSE,4,"4",42,4,0.0952380952380952,0,2,31,0.0282793658566444
7,"sub",FALSE,4,"tot",300,152,0.506666666666667,42,3,221,0.152686445849486
7,"sub",FALSE,6,"1",94,62,0.659574468085106,24,3,52,2.74069478908189
7,"sub",FALSE,6,"2",75,22,0.293333333333333,6,3,46,0.129113619985587
7,"sub",FALSE,6,"3",50,11,0.22,3,3,36,0.0648737909884407
7,"sub",FALSE,6,"4",36,3,0.0833333333333333,0,2,20,0.0832369942196532
7,"sub",FALSE,6,"5",26,4,0.153846153846154,0,2,16,0.0572183098591549
7,"sub",FALSE,6,"6",19,2,0.105263157894737,0,2,11,0.0763435459568056
7,"sub",FALSE,6,"tot",300,104,0.346666666666667,33,3,181,0.169522788957303
8,"sub",FALSE,1,"1",300,300,1,116,5,270,1.16144018583043
8,"sub",FALSE,1,"tot",300,300,1,116,5,270,1.16144018583043
8,"sub",FALSE,2,"1",168,168,1,44,3,145,1.13167602245389
8,"sub",FALSE,2,"2",132,95,0.71969696969697,17,7,125,0.117196261682243
8,"sub",FALSE,2,"tot",300,263,0.876666666666667,55,3,270,0.284262862083874
8,"sub",FALSE,4,"1",109,101,0.926605504587156,25,3,89,1.33605720122574
8,"sub",FALSE,4,"2",88,48,0.545454545454545,7,7,71,0.127064545546661
8,"sub",FALSE,4,"3",61,10,0.163934426229508,2,3,51,0.0297778862582377
8,"sub",FALSE,4,"4",42,7,0.166666666666667,0,2,33,0.0216123499142367
8,"sub",FALSE,4,"tot",300,166,0.553333333333333,33,3,244,0.123724095267553
8,"sub",FALSE,6,"1",95,69,0.726315789473684,18,3,60,1.88020833333333
8,"sub",FALSE,6,"2",73,27,0.36986301369863,5,3,46,0.151620049847688
